,scores,logFC,PValue,FDR
CCL22,-0.107359305,0.20072012,0.9145039359092318,0.9836746259404876
ANGPT1,-0.111511566,0.12117665,0.911210696824056,0.9836746259404876
CD86,-0.115965076,0.30231068,0.907680221545025,0.9836746259404876
COL6A3,-0.11930806,-0.19334544,0.9050312965380484,0.9836746259404876
KRAS,-0.12022515,,0.9043047970409988,0.9836746259404876
EGF,-0.12301065,-0.10842293,0.902098661477406,0.9836746259404876
TBX10,-0.123530716,0.098597646,0.9016868523575674,0.9836746259404876
PMS2,-0.12488732,0.1473806,0.900612757990846,0.9836746259404876
FCER1A,-0.12714452,0.19885106,0.8988260178052758,0.9836746259404876
PGLYRP1,-0.12961735,-0.40673974,0.8968691747870718,0.9836746259404876
IFITM1,-0.13136019,0.32907206,0.8954903755085764,0.9836746259404876
PDCD1LG2,-0.13260707,-0.026427373,0.8945041354033744,0.9836746259404876
MARCO,-0.1351947,-0.13387385,0.8924579333202591,0.9836746259404876
CSF2RA,-0.13954167,-0.10385184,0.8890221323278187,0.9836746259404876
CD80,-0.14029196,-0.006045522,0.8884293223375537,0.9836746259404876
THBD,-0.14114879,-0.030122422,0.8877524026478892,0.9836746259404876
CD83,-0.15129444,0.24739538,0.8797434494219658,0.9836746259404876
CCL1,-0.1556414,-0.16579022,0.8763156828820007,0.9836746259404876
PPARGC1A,-0.16370112,0.05694025,0.8699664432320848,0.9836746259404876
IL21,-0.17004842,1.104833,0.8649720646781489,0.9836746259404876
IFNG,-0.17132384,-0.19552943,0.863969141803565,0.9836746259404876
KLRF1,-0.18017885,-0.16257612,0.8570121625642403,0.9836746259404876
AMOTL2,-0.18112195,0.008075931,0.8562718651100105,0.9836746259404876
TLR9,-0.18120185,0.28058377,0.856209142277696,0.9836746259404876
SMARCA4,-0.18320028,-0.380131,0.8546408700371448,0.9836746259404876
NCR3,-0.18983869,-0.11164166,0.8494355334773283,0.9836746259404876
IRF4,-0.1916995,0.14322971,0.8479775948215038,0.9836746259404876
MSH3,-0.19253287,0.03243195,0.8473248212625833,0.9836746259404876
PKIB,-0.19920045,0.29603973,0.8421059435941408,0.9836746259404876
ARG1,-0.21178597,0.08268739,0.8322740152360253,0.9836746259404876
KIR3DL2,-0.21367088,-1.2857317,0.8308037221830206,0.9836746259404876
IKZF4,-0.22753309,-0.21928483,0.8200092470153116,0.9836746259404876
VTN,-0.2325574,-5.168,0.8161051140005284,0.9836746259404876
DKK1,-0.23328549,-0.1419,0.8155397307617014,0.9836746259404876
PDK4,-0.2357285,0.3728883,0.8136433467221473,0.9836746259404876
ROS1,-0.23991375,-0.15978074,0.8103971261062947,0.9836746259404876
DERL3,-0.25166208,0.8299383,0.8013022664756085,0.9836746259404876
CD1B,-0.253306,-4.148597,0.8000317683847646,0.9836746259404876
CD207,-0.2565329,-0.057858933,0.7975393688890486,0.9836746259404876
SH2D1B,-0.26471692,-0.23504393,0.791227539787822,0.9836746259404876
MPO,-0.27043444,-0.8370972,0.7868260474029811,0.9836746259404876
CD1C,-0.2725743,-0.41192085,0.7851804640597743,0.9836746259404876
IL17A,-0.27867872,0.5641211,0.7804914098408723,0.9836746259404876
MSR1,-0.28288233,-3.9336066,0.7772670416697136,0.9836746259404876
BRCA1,-0.28745,-0.29363358,0.7737677815965438,0.9836746259404876
IL1B,-0.29245022,0.34211916,0.7699424224946536,0.9836746259404876
TSC2,-0.30130333,-0.42873192,0.7631832057421085,0.9836746259404876
FGF2,-0.30911,,0.7572378742246406,0.9836746259404876
PRTN3,-0.31164813,0.6833663,0.7553079517021699,0.9836746259404876
IL4,-0.32270643,-3.2916167,0.7469175770047773,0.9836746259404876
PAX5,-0.33000952,0.18018448,0.7413927760160847,0.9806782751535512
BUB1,-0.33265167,-0.100742914,0.7393972263299808,0.9806329261670832
CDK2,-0.33784914,,0.735476879068297,0.97802776471848
KIR2DL4,-0.33865586,-0.6442109,0.7348689903812843,0.97802776471848
ESCO2,-0.34280622,-2.2110093,0.7317442456777188,0.97802776471848
VWF,-0.3447869,0.09607128,0.7302545835424775,0.97802776471848
SLC26A3,-0.34935647,,0.7268217070775856,0.97802776471848
CCNE1,-0.3499831,,0.7263513925639647,0.97802776471848
IL12B,-0.3643235,-0.23307712,0.7156164589788223,0.9723049714386172
