group,names,scores,logfoldchanges,pvals,pvals_adj,-log10(pvals_adj)
in,KLRK1,0.2690772,1.1002269,0.78787027071867488104,0.99984759063045269833,6.619559272716956762e-05
in,PMS2,0.26546973,0.9146514,0.79064763553864247925,0.99984759063045269833,6.619559272716956762e-05
in,ATR,0.2585467,,0.79598499555933110994,0.99984759063045269833,6.619559272716956762e-05
in,PRF1,0.25796276,-1.9610928,0.7964356510334338335,0.99984759063045269833,6.619559272716956762e-05
in,IGF1R,0.2568003,-0.02558879,0.7973329522013284931,0.99984759063045269833,6.619559272716956762e-05
in,CXCL16,0.2564237,-0.23142369,0.7976236847323772139,0.99984759063045269833,6.619559272716956762e-05
in,CLEC4C,0.23706278,2.8224933,0.8126080810398973453,0.99984759063045269833,6.619559272716956762e-05
in,PDCD1,0.23511168,0.3545932,0.81412204811459809584,0.99984759063045269833,6.619559272716956762e-05
in,CXCR3,0.2296377,-0.043188386,0.8183733165585811431,0.99984759063045269833,6.619559272716956762e-05
in,WNT3A,0.22857891,,0.81919621671270625995,0.99984759063045269833,6.619559272716956762e-05
in,PGLYRP1,0.22814776,1.9782219,0.8195313723472070766,0.99984759063045269833,6.619559272716956762e-05
in,BRAF,0.22684611,0.15490478,0.8205434027391406149,0.99984759063045269833,6.619559272716956762e-05
in,ITGAX,0.22060533,0.051142592,0.8253997553274277088,0.99984759063045269833,6.619559272716956762e-05
in,CXCL9,0.2191645,0.42312622,0.8265218993029284089,0.99984759063045269833,6.619559272716956762e-05
in,VTN,0.21309836,,0.83125024152584869874,0.99984759063045269833,6.619559272716956762e-05
in,MARCO,0.21081434,6.3117323,0.83303214243508605374,0.99984759063045269833,6.619559272716956762e-05
in,FGF1,0.2065192,0.8478067,0.83638537018410141766,0.99984759063045269833,6.619559272716956762e-05
in,AKT2,0.2021531,0.15362762,0.83979703750662837436,0.99984759063045269833,6.619559272716956762e-05
in,CTSW,0.19729854,-0.3972117,0.84359391930100469104,0.99984759063045269833,6.619559272716956762e-05
in,DDIT3,0.19419861,-0.52366513,0.84602036877650765856,0.99984759063045269833,6.619559272716956762e-05
in,CD226,0.19378111,0.93798184,0.8463472826547977501,0.99984759063045269833,6.619559272716956762e-05
in,CXCL12,0.19262409,-0.39455298,0.8472533781152099541,0.99984759063045269833,6.619559272716956762e-05
in,BRCA1,0.18976974,-0.7762132,0.8494895597696366929,0.99984759063045269833,6.619559272716956762e-05
in,BTLA,0.1859194,,0.8525079696713705468,0.99984759063045269833,6.619559272716956762e-05
in,FLT1,0.1855974,0.73071194,0.8527604937018353759,0.99984759063045269833,6.619559272716956762e-05
in,CASP8,0.1711347,0.31983608,0.8641178542972209886,0.99984759063045269833,6.619559272716956762e-05
in,CSF2RA,0.1696202,-0.17066766,0.8653088305953462456,0.99984759063045269833,6.619559272716956762e-05
in,IGF1,0.16455281,0.42644608,0.86929598253990236767,0.99984759063045269833,6.619559272716956762e-05
in,FAP,0.16385423,0.13680916,0.8698459014949423418,0.99984759063045269833,6.619559272716956762e-05
in,CCL2,0.16301921,0.14669397,0.8705033090664409112,0.99984759063045269833,6.619559272716956762e-05
in,NFE2L2,0.15839387,0.003391318,0.87414644001039010224,0.99984759063045269833,6.619559272716956762e-05
in,CHEK2,0.14757141,0.7826179,0.8826810213698099705,0.99984759063045269833,6.619559272716956762e-05
in,ESCO2,0.14107138,-0.044238538,0.8878135543738998603,0.99984759063045269833,6.619559272716956762e-05
in,TNFRSF9,0.14063478,-0.1723315,0.88815848002808261974,0.99984759063045269833,6.619559272716956762e-05
in,KLRF1,0.13511711,-0.12751852,0.89251928154306758856,0.99984759063045269833,6.619559272716956762e-05
in,IFNAR1,0.13087381,-0.12511458,0.89587513391330997337,0.99984759063045269833,6.619559272716956762e-05
in,PREX2,0.13026528,-0.09866772,0.8963565454252065967,0.99984759063045269833,6.619559272716956762e-05
in,IRF5,0.1300306,0.10097849,0.89654221208895990003,0.99984759063045269833,6.619559272716956762e-05
in,SMO,0.12987779,0.06111504,0.8966631143583412289,0.99984759063045269833,6.619559272716956762e-05
in,IL10,0.12724176,0.32604963,0.89874905384685077614,0.99984759063045269833,6.619559272716956762e-05
in,XCL1,0.119418256,-0.14322016,0.9049439974733509695,0.99984759063045269833,6.619559272716956762e-05
in,CXCL10,0.1183049,-1.3931344,0.90582607325386843566,0.99984759063045269833,6.619559272716956762e-05
in,IL21,0.117366195,1.2560146,0.90656987453098580865,0.99984759063045269833,6.619559272716956762e-05
in,CCL4,0.11564158,0.022647772,0.9079366062736542453,0.99984759063045269833,6.619559272716956762e-05
in,IKZF4,0.10427062,0.3608192,0.9169545897096702536,0.99984759063045269833,6.619559272716956762e-05
in,CXCL5,0.103274606,-0.2959021,0.91774502818234071633,0.99984759063045269833,6.619559272716956762e-05
in,DKK1,0.09768873,-0.3113545,0.9221794650017358652,0.99984759063045269833,6.619559272716956762e-05
in,FASLG,0.09253673,-0.027528733,0.92627160737791325307,0.99984759063045269833,6.619559272716956762e-05
in,TNFSF4,0.08855812,1.0346463,0.92943308792771761606,0.99984759063045269833,6.619559272716956762e-05
in,PTGDR2,0.08784863,0.38848132,0.9299969820894632422,0.99984759063045269833,6.619559272716956762e-05
