group,names,scores,logfoldchanges,pvals,pvals_adj,-log10(pvals_adj)
out,TSC2,0.30130333,0.42873192,0.7631832057421085169,0.9836746259404877124,0.0071485311688227621717
out,IL1B,0.29245022,-0.34211916,0.76994242249465361105,0.9836746259404877124,0.0071485311688227621717
out,BRCA1,0.28745,0.29363358,0.7737677815965438022,0.9836746259404877124,0.0071485311688227621717
out,MSR1,0.28288233,3.9336066,0.77726704166971360976,0.9836746259404877124,0.0071485311688227621717
out,IL17A,0.27867872,-0.5641211,0.7804914098408723966,0.9836746259404877124,0.0071485311688227621717
out,CD1C,0.2725743,0.41192085,0.7851804640597743745,0.9836746259404877124,0.0071485311688227621717
out,MPO,0.27043444,0.8370972,0.78682604740298112134,0.9836746259404877124,0.0071485311688227621717
out,SH2D1B,0.26471692,0.23504393,0.79122753978782200956,0.9836746259404877124,0.0071485311688227621717
out,CD207,0.2565329,0.057858933,0.7975393688890486388,0.9836746259404877124,0.0071485311688227621717
out,CD1B,0.253306,4.148597,0.80003176838476464106,0.9836746259404877124,0.0071485311688227621717
out,DERL3,0.25166208,-0.8299383,0.8013022664756085378,0.9836746259404877124,0.0071485311688227621717
out,ROS1,0.23991375,0.15978074,0.81039712610629477396,0.9836746259404877124,0.0071485311688227621717
out,PDK4,0.2357285,-0.3728883,0.81364334672214733146,0.9836746259404877124,0.0071485311688227621717
out,DKK1,0.23328549,0.1419,0.8155397307617014979,0.9836746259404877124,0.0071485311688227621717
out,VTN,0.2325574,5.168,0.816105114000528431,0.9836746259404877124,0.0071485311688227621717
out,IKZF4,0.22753309,0.21928483,0.8200092470153116375,0.9836746259404877124,0.0071485311688227621717
out,KIR3DL2,0.21367088,1.2857317,0.83080372218302067644,0.9836746259404877124,0.0071485311688227621717
out,ARG1,0.21178597,-0.08268739,0.83227401523602539957,0.9836746259404877124,0.0071485311688227621717
out,PKIB,0.19920045,-0.29603973,0.84210594359414081556,0.9836746259404877124,0.0071485311688227621717
out,MSH3,0.19253287,-0.03243195,0.8473248212625834608,0.9836746259404877124,0.0071485311688227621717
out,IRF4,0.1916995,-0.14322971,0.8479775948215038106,0.9836746259404877124,0.0071485311688227621717
out,NCR3,0.18983869,0.11164166,0.8494355334773283639,0.9836746259404877124,0.0071485311688227621717
out,SMARCA4,0.18320028,0.380131,0.8546408700371448397,0.9836746259404877124,0.0071485311688227621717
out,TLR9,0.18120185,-0.28058377,0.85620914227769606697,0.9836746259404877124,0.0071485311688227621717
out,AMOTL2,0.18112195,-0.008075931,0.8562718651100105216,0.9836746259404877124,0.0071485311688227621717
out,KLRF1,0.18017885,0.16257612,0.8570121625642403984,0.9836746259404877124,0.0071485311688227621717
out,IFNG,0.17132384,0.19552943,0.8639691418035650994,0.9836746259404877124,0.0071485311688227621717
out,IL21,0.17004842,-1.104833,0.86497206467814891084,0.9836746259404877124,0.0071485311688227621717
out,PPARGC1A,0.16370112,-0.05694025,0.8699664432320848295,0.9836746259404877124,0.0071485311688227621717
out,CCL1,0.1556414,0.16579022,0.8763156828820007904,0.9836746259404877124,0.0071485311688227621717
out,CD83,0.15129444,-0.24739538,0.8797434494219658063,0.9836746259404877124,0.0071485311688227621717
out,THBD,0.14114879,0.030122422,0.8877524026478892383,0.9836746259404877124,0.0071485311688227621717
out,CD80,0.14029196,0.006045522,0.888429322337553784,0.9836746259404877124,0.0071485311688227621717
out,CSF2RA,0.13954167,0.10385184,0.8890221323278187926,0.9836746259404877124,0.0071485311688227621717
out,MARCO,0.1351947,0.13387385,0.8924579333202591336,0.9836746259404877124,0.0071485311688227621717
